
time 01h 39m 47s, episodes 65343, frames 22.2M, run epr 307.07, run loss 107.20
time 01h 40m 48s, episodes 65959, frames 22.4M, run epr 286.16, run loss 105.36
time 01h 41m 49s, episodes 66576, frames 22.7M, run epr 279.87, run loss 86.72
time 01h 42m 49s, episodes 67178, frames 22.9M, run epr 315.32, run loss 112.54
time 01h 43m 49s, episodes 67772, frames 23.1M, run epr 334.71, run loss 131.16
time 01h 44m 49s, episodes 68376, frames 23.3M, run epr 309.48, run loss 108.09
time 01h 45m 50s, episodes 68996, frames 23.6M, run epr 310.62, run loss 102.82
time 01h 46m 51s, episodes 69639, frames 23.8M, run epr 277.74, run loss 94.29

	24M frames: saved model

time 01h 47m 51s, episodes 70236, frames 24.0M, run epr 295.68, run loss 93.69
time 01h 48m 51s, episodes 70831, frames 24.2M, run epr 302.83, run loss 104.22
time 01h 49m 52s, episodes 71460, frames 24.5M, run epr 303.92, run loss 110.43
time 01h 50m 54s, episodes 72092, frames 24.7M, run epr 287.32, run loss 94.12
time 01h 51m 54s, episodes 72732, frames 24.9M, run epr 249.84, run loss 81.19
time 01h 52m 56s, episodes 73345, frames 25.1M, run epr 286.22, run loss 106.66
time 01h 53m 57s, episodes 73949, frames 25.4M, run epr 303.18, run loss 103.22
time 01h 54m 58s, episodes 74556, frames 25.6M, run epr 263.85, run loss 82.50
time 01h 55m 59s, episodes 75168, frames 25.8M, run epr 340.39, run loss 127.53

	26M frames: saved model

time 01h 57m 00s, episodes 75770, frames 26.1M, run epr 323.57, run loss 112.09
time 01h 58m 02s, episodes 76373, frames 26.3M, run epr 306.94, run loss 97.08
time 01h 59m 03s, episodes 76961, frames 26.5M, run epr 297.59, run loss 108.91
time 02h 00m 04s, episodes 77570, frames 26.7M, run epr 282.78, run loss 99.75
time 02h 01m 05s, episodes 78178, frames 27.0M, run epr 311.30, run loss 123.43
time 02h 02m 07s, episodes 78804, frames 27.2M, run epr 304.51, run loss 100.30
time 02h 03m 09s, episodes 79421, frames 27.4M, run epr 363.44, run loss 146.71
time 02h 04m 10s, episodes 80030, frames 27.7M, run epr 306.32, run loss 125.60
time 02h 05m 11s, episodes 80637, frames 27.9M, run epr 316.87, run loss 135.47

	28M frames: saved model

time 02h 06m 11s, episodes 81225, frames 28.1M, run epr 350.08, run loss 129.69
time 02h 07m 12s, episodes 81831, frames 28.3M, run epr 340.71, run loss 147.42
time 02h 08m 13s, episodes 82454, frames 28.6M, run epr 318.66, run loss 123.52
time 02h 09m 14s, episodes 83058, frames 28.8M, run epr 343.54, run loss 136.33
time 02h 10m 14s, episodes 83656, frames 29.0M, run epr 336.76, run loss 140.27
time 02h 11m 16s, episodes 84262, frames 29.2M, run epr 328.38, run loss 131.60
time 02h 12m 17s, episodes 84891, frames 29.5M, run epr 329.95, run loss 124.48
